ticker,company_name,cik,exchange,form_type,filing_date,accession_number,primary_document,market_cap,market_cap_source
BETRW,Better Home & Finance Holding Co,0001835856,NASDAQ,25-NSE,2023-08-23,0001354457-23-000603,xslF25X02/primary_doc.xml,,none
FFWM,First Foundation Inc.,0001413837,NYSE,25,2023-08-21,0001104659-23-093946,tm2324003d1_25.htm,610383204.2247753,yahoo_historical
PCG-PX,PG&E Corp,0001004980,NYSE,25-NSE,2023-08-17,0000876661-23-000669,xslF25X02/primary_doc.xml,,none
RC-PE,Ready Capital Corp,0001527590,NYSE,25-NSE,2023-08-15,0000876661-23-000653,xslF25X02/primary_doc.xml,,none
CNH,CNH Industrial N.V.,0001567094,NYSE,25-NSE,2023-08-15,0000876661-23-000660,xslF25X02/primary_doc.xml,15566337600.066067,yahoo_historical
PSA-PS,Public Storage,0001393311,NYSE,25-NSE,2023-08-15,0000876661-23-000658,xslF25X02/primary_doc.xml,,none
AEP,AMERICAN ELECTRIC POWER CO INC,0000004904,NASDAQ,25-NSE,2023-08-14,0001354457-23-000582,xslF25X02/primary_doc.xml,39225936921.26701,yahoo_historical
BDX,BECTON DICKINSON & CO,0000010795,NYSE,25-NSE,2023-08-14,0000876661-23-000647,xslF25X02/primary_doc.xml,76929941923.67773,yahoo_historical
TLSIW,"TriSalus Life Sciences, Inc.",0001826667,NASDAQ,25-NSE,2023-08-10,0001354457-23-000571,xslF25X02/primary_doc.xml,,none
PSQH-WT,"PSQ Holdings, Inc.",0001847064,NYSE,25-NSE,2023-07-24,0000876661-23-000598,xslF25X02/primary_doc.xml,,none
FISV,FISERV INC,0000798354,NASDAQ,25,2023-07-17,0001193125-23-188094,d508382d25.htm,69119343043.86134,yahoo_historical
GLOP-PA,GasLog Partners LP,0001598655,NYSE,25-NSE,2023-07-13,0000876661-23-000583,xslF25X02/primary_doc.xml,1188999552.0,yahoo_current
BTMD,biote Corp.,0001819253,NASDAQ,25-NSE,2023-07-07,0001354457-23-000475,xslF25X02/primary_doc.xml,196358146.92596436,yahoo_historical
TEN-PF,TSAKOS ENERGY NAVIGATION LTD,0001166663,NYSE,25-NSE,2023-07-07,0000876661-23-000572,xslF25X02/primary_doc.xml,,none
DHI,HORTON D R INC /DE/,0000882184,NYSE,25-NSE,2023-07-06,0000876661-23-000562,xslF25X02/primary_doc.xml,32562031657.62011,yahoo_historical
ROP,ROPER TECHNOLOGIES INC,0000882835,NASDAQ,25,2023-07-05,0001193125-23-182011,d480377d25.htm,50496095878.98895,yahoo_historical
GRNT,"Granite Ridge Resources, Inc.",0001928446,NYSE,25-NSE,2023-07-05,0000876661-23-000557,xslF25X02/primary_doc.xml,726173202.8758421,yahoo_historical
COHR,COHERENT CORP.,0000820318,NYSE,25-NSE,2023-07-03,0000876661-23-000552,xslF25X02/primary_doc.xml,7989689607.219738,yahoo_historical
ABXL,"Abacus Global Management, Inc.",0001814287,NYSE,25-NSE,2023-07-03,0001354457-23-000451,xslF25X02/primary_doc.xml,,none
TOON,"Kartoon Studios, Inc.",0001355848,AMEX,25,2023-06-23,0001683168-23-004390,genius_25.htm,174625486.7139995,yahoo_historical
SYY,SYSCO CORP,0000096021,NYSE,25-NSE,2023-06-23,0000876661-23-000530,xslF25X02/primary_doc.xml,32159294623.86328,yahoo_historical
ADM,Archer-Daniels-Midland Co,0000007084,NYSE,25-NSE,2023-06-23,0000876661-23-000532,xslF25X02/primary_doc.xml,32171693098.98735,yahoo_historical
GNE,Genie Energy Ltd.,0001528356,NYSE,25-NSE,2023-06-20,0000876661-23-000516,xslF25X02/primary_doc.xml,335565861.3523865,yahoo_historical
DBD,"DIEBOLD NIXDORF, Inc",0000028823,NYSE,25-NSE,2023-06-20,0000876661-23-000511,xslF25X02/primary_doc.xml,2491080960.0,yahoo_current
GTX,Garrett Motion Inc.,0001735707,NASDAQ,25-NSE,2023-06-12,0001354457-23-000390,xslF25X02/primary_doc.xml,1473166272.9020805,yahoo_historical
NPWR-WT,NET Power Inc.,0001845437,NYSE,25-NSE,2023-06-09,0000876661-23-000474,xslF25X02/primary_doc.xml,,none
STEL,"Stellar Bancorp, Inc.",0001473844,NYSE,25,2023-06-09,0001473844-23-000030,stelnyseform25.htm,1221251724.5015373,yahoo_historical
BSX,BOSTON SCIENTIFIC CORP,0000885725,NYSE,25-NSE,2023-06-01,0000876661-23-000463,xslF25X02/primary_doc.xml,76375520112.0,yahoo_historical
COE,51Talk Online Education Group,0001659494,AMEX,25,2023-06-01,0001104659-23-066780,tm2317222d1_25.htm,25168094.910598755,yahoo_historical
GE,GENERAL ELECTRIC CO,0000040545,NYSE,25-NSE,2023-05-26,0000876661-23-000445,xslF25X02/primary_doc.xml,84769077945.41943,yahoo_historical
EMN,EASTMAN CHEMICAL CO,0000915389,NYSE,25-NSE,2023-05-26,0000876661-23-000451,xslF25X02/primary_doc.xml,8330911593.183899,yahoo_historical
EQBK,EQUITY BANCSHARES INC,0001227500,NYSE,25,2023-05-22,0001193125-23-150486,d475198d25.htm,464047652.53658676,yahoo_historical
OBK,"Origin Bancorp, Inc.",0001516912,NYSE,25,2023-05-19,0001516912-23-000095,form2505-19x23.htm,847239933.7171497,yahoo_historical
MMM,3M CO,0000066740,NYSE,25-NSE,2023-05-15,0000876661-23-000401,xslF25X02/primary_doc.xml,40382637889.33821,yahoo_historical
TBMCR,Trailblazer Merger Corp I,0001934945,NASDAQ,25-NSE,2023-05-12,0001354457-23-000350,xslF25X02/primary_doc.xml,,none
FMX,MEXICAN ECONOMIC DEVELOPMENT INC,0001061736,NYSE,25-NSE,2023-05-10,0000876661-23-000393,xslF25X02/primary_doc.xml,31838272196.657272,yahoo_historical
TDAY,"USA TODAY Co., Inc.",0001579684,NYSE,25-NSE,2023-05-09,0000876661-23-000387,xslF25X02/primary_doc.xml,285390983.4176302,yahoo_historical
OSG,OCTAVE SPECIALTY GROUP INC,0000874501,NYSE,25-NSE,2023-04-28,0000876661-23-000367,xslF25X02/primary_doc.xml,,none
GIS,GENERAL MILLS INC,0000040704,NYSE,25-NSE,2023-04-28,0000876661-23-000365,xslF25X02/primary_doc.xml,42297965724.01781,yahoo_historical
ALL-PJ,ALLSTATE CORP,0000899051,NYSE,25-NSE,2023-04-17,0000876661-23-000337,xslF25X02/primary_doc.xml,,none
REED,"REED'S, INC.",0001140215,AMEX,25-NSE,2023-04-12,0001354457-23-000266,xslF25X02/primary_doc.xml,236920906.53218842,yahoo_historical
RJF,RAYMOND JAMES FINANCIAL INC,0000720005,NYSE,25-NSE,2023-04-03,0000876661-23-000316,xslF25X02/primary_doc.xml,17483203125.42575,yahoo_historical
PRIM,Primoris Services Corp,0001361538,NYSE,25,2023-04-03,0001104659-23-040914,tm2311212d1_25.htm,1372040069.0487137,yahoo_historical
SAFE,Safehold Inc.,0001095651,NYSE,25-NSE,2023-03-31,0000876661-23-000308,xslF25X02/primary_doc.xml,1896305926.5358887,yahoo_historical
RYAM,RAYONIER ADVANCED MATERIALS INC.,0001597672,NYSE,25-NSE,2023-03-21,0000876661-23-000271,xslF25X02/primary_doc.xml,428835801.5901513,yahoo_historical
GFL,GFL Environmental Inc.,0001780232,NYSE,25-NSE,2023-03-15,0000876661-23-000230,xslF25X02/primary_doc.xml,11139352426.369888,yahoo_historical
MDT,Medtronic plc,0001613103,NYSE,25-NSE,2023-03-15,0000876661-23-000236,xslF25X02/primary_doc.xml,91821274664.39062,yahoo_historical
SLND-WT,"Southland Holdings, Inc.",0001883814,AMEX,25,2023-03-01,0001829126-23-001785,southlandholdings_25.htm,,none
ZGN,Ermenegildo Zegna N.V.,0001877787,NYSE,25-NSE,2023-02-27,0000876661-23-000143,xslF25X02/primary_doc.xml,3192737726.2122345,yahoo_historical
MO,"ALTRIA GROUP, INC.",0000764180,NYSE,25-NSE,2023-02-15,0000876661-23-000108,xslF25X02/primary_doc.xml,62989027581.845215,yahoo_historical
CAT,CATERPILLAR INC,0000018230,NYSE,25-NSE,2023-02-15,0000876661-23-000115,xslF25X02/primary_doc.xml,110849432019.22076,yahoo_historical
LUNR,"Intuitive Machines, Inc.",0001844452,NASDAQ,25-NSE,2023-02-13,0001354457-23-000086,xslF25X02/primary_doc.xml,1482878671.8974533,yahoo_historical
DOC,"HEALTHPEAK PROPERTIES, INC.",0000765880,NYSE,25-NSE,2023-02-10,0000876661-23-000106,xslF25X02/primary_doc.xml,15482373080.41935,yahoo_historical
ELAN,Elanco Animal Health Inc,0001739104,NYSE,25-NSE,2023-02-01,0000876661-23-000082,xslF25X02/primary_doc.xml,6985900638.8722105,yahoo_historical
FLR,FLUOR CORP,0001124198,NYSE,25-NSE,2023-01-31,0000876661-23-000078,xslF25X02/primary_doc.xml,5923457132.25,yahoo_historical
RIG,Transocean Ltd.,0001451505,NYSE,25-NSE,2023-01-30,0000876661-23-000071,xslF25X02/primary_doc.xml,7148353168.350115,yahoo_historical
GENI,Genius Sports Ltd,0001834489,NYSE,25-NSE,2023-01-23,0000876661-23-000064,xslF25X02/primary_doc.xml,1062295588.468132,yahoo_historical
AUB-PA,Atlantic Union Bankshares Corp,0000883948,NYSE,25,2023-01-17,0001104659-23-004236,tm233312d1_25.htm,,none
PFXNZ,PhenixFIN Corp,0001490349,NASDAQ,25-NSE,2023-01-17,0001354457-23-000027,xslF25X02/primary_doc.xml,,none
SWX,"Southwest Gas Holdings, Inc.",0001692115,NYSE,25-NSE,2023-01-13,0000876661-23-000048,xslF25X02/primary_doc.xml,4273251866.6255608,yahoo_historical
SPIR,"Spire Global, Inc.",0001816017,NYSE,25-NSE,2023-01-09,0000876661-23-000030,xslF25X02/primary_doc.xml,272746134.8239517,yahoo_historical
KIM-PN,KIMCO REALTY CORP,0000879101,NYSE,25-NSE,2023-01-03,0000876661-23-000012,xslF25X02/primary_doc.xml,,none
MHNC,"Maiden Holdings, Ltd.",0001412100,NYSE,25-NSE,2022-12-27,0000876661-22-001194,xslF25X02/primary_doc.xml,,none
SGHC,Super Group (SGHC) Ltd,0001878057,NYSE,25-NSE,2022-12-27,0000876661-22-001196,xslF25X02/primary_doc.xml,1255700090.6110468,yahoo_historical
EVRG,"Evergy, Inc.",0001711269,NASDAQ,25,2022-12-27,0001193125-22-312657,d425579d25.htm,12845606562.626953,yahoo_historical
TWLO,TWILIO INC,0001447669,NYSE,25,2022-12-19,0001193125-22-308321,d418994d25.htm,7021189809.788521,yahoo_historical
UHAL-B,U-Haul Holding Co /NV/,0000004457,NYSE,25,2022-12-16,0000004457-22-000124,form25.htm,8950873040.953094,yahoo_historical
CCC,CCC Intelligent Solutions Holdings Inc.,0001818201,NASDAQ,25,2022-12-16,0001193125-22-307317,d436660d25.htm,5632434824.6462755,yahoo_historical
ZYME,Zymeworks Inc.,0001937653,NASDAQ,25,2022-12-15,0001193125-22-305914,d396582d25.htm,481198900.7734575,yahoo_historical
RZC,REINSURANCE GROUP OF AMERICA INC,0000898174,NYSE,25-NSE,2022-12-15,0000876661-22-001140,xslF25X02/primary_doc.xml,,none
ZBH,"ZIMMER BIOMET HOLDINGS, INC.",0001136869,NYSE,25-NSE,2022-12-13,0000876661-22-001122,xslF25X02/primary_doc.xml,24749141868.879433,yahoo_historical
LOB-PA,"Live Oak Bancshares, Inc.",0001462120,NYSE,25,2022-12-13,0001193125-22-303814,d373258d25.htm,,none
XYL,Xylem Inc.,0001524472,NYSE,25-NSE,2022-12-12,0000876661-22-001119,xslF25X02/primary_doc.xml,26613247895.50939,yahoo_historical
GHI,Greystone Housing Impact Investors LP,0001059142,NYSE,25,2022-12-02,0001193125-22-297564,d426768d25.htm,306783699.6292286,yahoo_historical
MA,Mastercard Inc,0001141391,NYSE,25-NSE,2022-12-01,0000876661-22-001070,xslF25X02/primary_doc.xml,315488397381.2317,yahoo_historical
GRND,Grindr Inc.,0001820144,NYSE,25-NSE,2022-11-18,0000876661-22-001005,xslF25X02/primary_doc.xml,6742795416.5,yahoo_historical
SWK,"STANLEY BLACK & DECKER, INC.",0000093556,NYSE,25-NSE,2022-11-15,0000876661-22-000983,xslF25X02/primary_doc.xml,11624043756.804565,yahoo_historical
STZ,"CONSTELLATION BRANDS, INC.",0000016918,NYSE,25-NSE,2022-11-14,0000876661-22-000968,xslF25X02/primary_doc.xml,40096154898.3593,yahoo_historical
EGHT,8X8 INC /DE/,0001023731,NASDAQ,25,2022-11-14,0001023731-22-000221,nasdaqlistingform25.htm,589221542.75,yahoo_historical
WT,"WisdomTree, Inc.",0000880631,NYSE,25,2022-11-04,0001193125-22-277882,d377564d25.htm,704897569.6145058,yahoo_historical
DTG,DTE ENERGY CO,0000936340,NYSE,25-NSE,2022-11-02,0000876661-22-000934,xslF25X02/primary_doc.xml,,none
PNC,"PNC FINANCIAL SERVICES GROUP, INC.",0000713676,NYSE,25-NSE,2022-11-01,0000876661-22-000911,xslF25X02/primary_doc.xml,57519281326.29204,yahoo_historical
GBTG,"Global Business Travel Group, Inc.",0001820872,NYSE,25-NSE,2022-10-28,0000876661-22-000900,xslF25X02/primary_doc.xml,2984098858.2453146,yahoo_historical
KNTK,Kinetik Holdings Inc.,0001692787,NYSE,25,2022-10-21,0001193125-22-266763,d305024d25.htm,1728908608.4038887,yahoo_historical
GETY,"Getty Images Holdings, Inc.",0001898496,NYSE,25-NSE,2022-10-19,0000876661-22-000864,xslF25X02/primary_doc.xml,2308024083.869035,yahoo_historical
DFH,"Dream Finders Homes, Inc.",0001825088,NYSE,25,2022-10-07,0001825088-22-000048,form25.htm,379709649.94493484,yahoo_historical
SLMBP,SLM Corp,0001032033,NASDAQ,25-NSE,2022-10-04,0000876661-22-000809,xslF25X02/primary_doc.xml,17868866327.130127,yahoo_historical
AVGO,Broadcom Inc.,0001730168,NASDAQ,25-NSE,2022-09-30,0001354457-22-000551,xslF25X02/primary_doc.xml,199612738189.63797,yahoo_historical
MKTW,"MARKETWISE, INC.",0001805651,NASDAQ,25-NSE,2022-09-29,0001354457-22-000550,xslF25X02/primary_doc.xml,87132749.93800735,yahoo_historical
RUMBW,Rumble Inc.,0001830081,NASDAQ,25-NSE,2022-09-16,0001354457-22-000531,xslF25X02/primary_doc.xml,,none
AMPX-WT,"Amprius Technologies, Inc.",0001899287,NYSE,25-NSE,2022-09-15,0000876661-22-000753,xslF25X02/primary_doc.xml,,none
PR,Permian Resources Corp,0001658566,NYSE,25,2022-09-12,0001193125-22-242336,d358175d25.htm,5398237420.618472,yahoo_historical
PWP,Perella Weinberg Partners,0001777835,NASDAQ,25-NSE,2022-09-07,0001354457-22-000501,xslF25X02/primary_doc.xml,448946818.72903824,yahoo_historical
CCEL,CRYO CELL INTERNATIONAL INC,0000862692,AMEX,25,2022-08-30,0001193125-22-233208,d385072d25.htm,46841723.2565403,yahoo_historical
J,JACOBS SOLUTIONS INC.,0000052988,NYSE,25-NSE,2022-08-29,0000876661-22-000721,xslF25X02/primary_doc.xml,12179822928.00447,yahoo_historical
CDR-PB,"CEDAR REALTY TRUST, INC.",0000761648,NYSE,25-NSE,2022-08-23,0000876661-22-000700,xslF25X02/primary_doc.xml,169000480.0,yahoo_current
OWL,BLUE OWL CAPITAL INC.,0001823945,NYSE,25-NSE,2022-08-19,0000876661-22-000695,xslF25X02/primary_doc.xml,6880379461.525655,yahoo_historical
NRGV,"Energy Vault Holdings, Inc.",0001828536,NYSE,25-NSE,2022-08-17,0000876661-22-000681,xslF25X02/primary_doc.xml,892642844.763063,yahoo_historical
SPXC,"SPX Technologies, Inc.",0000088205,NYSE,25-NSE,2022-08-15,0000876661-22-000622,xslF25X02/primary_doc.xml,3187483203.45417,yahoo_historical
INSW,"International Seaways, Inc.",0001679049,NYSE,25-NSE,2022-08-05,0000876661-22-000614,xslF25X02/primary_doc.xml,841958802.1415844,yahoo_historical
SOJF,SOUTHERN CO,0000092122,NYSE,25-NSE,2022-08-01,0000876661-22-000604,xslF25X02/primary_doc.xml,,none
GENC,GENCOR INDUSTRIES INC,0000064472,AMEX,25,2022-07-29,0001193125-22-206599,d353746d25.htm,122277952.06724167,yahoo_historical
NOTE-WT,"FiscalNote Holdings, Inc.",0001823466,NYSE,25,2022-07-29,0001104659-22-083846,tm2132074d76_25.htm,,none
SLGN,SILGAN HOLDINGS INC,0000849869,NYSE,25,2022-07-29,0000849869-22-000106,form25.htm,4452553412.270279,yahoo_historical
UMH-PD,"UMH PROPERTIES, INC.",0000752642,NYSE,25-NSE,2022-07-26,0000876661-22-000590,xslF25X02/primary_doc.xml,750811289.8340225,yahoo_historical
GSL-PB,"Global Ship Lease, Inc.",0001430725,NYSE,25-NSE,2022-07-18,0000876661-22-000552,xslF25X02/primary_doc.xml,130763514.50592041,yahoo_historical
SAJ,SARATOGA INVESTMENT CORP.,0001377936,NYSE,25-NSE,2022-07-15,0000876661-22-000550,xslF25X02/primary_doc.xml,,none
ADTN,"ADTRAN Holdings, Inc.",0000926282,NASDAQ,25-NSE,2022-07-11,0001354457-22-000388,xslF25X02/primary_doc.xml,1553873750.7331562,yahoo_historical
FRGE,"Forge Global Holdings, Inc.",0001827821,NYSE,25-NSE,2022-07-11,0000876661-22-000542,xslF25X02/primary_doc.xml,1501447478.4496155,yahoo_historical
D,"DOMINION ENERGY, INC",0000715957,NYSE,25-NSE,2022-06-01,0000876661-22-000466,xslF25X02/primary_doc.xml,59878108216.99972,yahoo_historical
COLD,AMERICOLD REALTY TRUST,0001455863,NYSE,25-NSE,2022-05-26,0000876661-22-000443,xslF25X02/primary_doc.xml,6631217415.982464,yahoo_historical
NIC,NICOLET BANKSHARES INC,0001174850,NYSE,25,2022-05-23,0001174850-22-000028,ncbsform25.htm,1118844364.6056747,yahoo_historical
MSPRZ,"MSP Recovery, Inc.",0001802450,NASDAQ,25-NSE,2022-05-23,0001354457-22-000313,xslF25X02/primary_doc.xml,,none
CTRE,"CareTrust REIT, Inc.",0001590717,NYSE,25,2022-05-20,0001193125-22-155457,d341558d25.htm,3202056802.05645,yahoo_historical
CXT,"Crane NXT, Co.",0000025445,NYSE,25-NSE,2022-05-17,0000876661-22-000423,xslF25X02/primary_doc.xml,1787112778.1092243,yahoo_historical
AVTR,"Avantor, Inc.",0001722482,NYSE,25-NSE,2022-05-16,0000876661-22-000415,xslF25X02/primary_doc.xml,20890806863.613235,yahoo_historical
LUCK,Lucky Strike Entertainment Corp,0001840572,NYSE,25-NSE,2022-05-16,0000876661-22-000416,xslF25X02/primary_doc.xml,823461407.5859184,yahoo_historical
WHG,WESTWOOD HOLDINGS GROUP INC,0001165002,NYSE,25-NSE,2022-05-11,0000876661-22-000409,xslF25X02/primary_doc.xml,121241800.4824543,yahoo_historical
EVEX-WT,"Eve Holding, Inc.",0001823652,NYSE,25,2022-05-09,0001193125-22-144961,d352458d25.htm,,none
TGLS,Tecnoglass Inc.,0001534675,NYSE,25,2022-05-06,0001493152-22-012383,form25.htm,1012489117.0572128,yahoo_historical
AMH-PG,American Homes 4 Rent,0001562401,NYSE,25-NSE,2022-05-05,0000876661-22-000395,xslF25X02/primary_doc.xml,7923857920.0,yahoo_current
BRCC,BRC Inc.,0001891101,NYSE,25-NSE,2022-05-04,0000876661-22-000393,xslF25X02/primary_doc.xml,1674992791.3490725,yahoo_historical
WTRG,"Essential Utilities, Inc.",0000078128,NYSE,25-NSE,2022-05-02,0000876661-22-000385,xslF25X02/primary_doc.xml,11189631367.20773,yahoo_historical
SOUNW,"SOUNDHOUND AI, INC.",0001840856,NASDAQ,25-NSE,2022-04-27,0001354457-22-000262,xslF25X02/primary_doc.xml,,none
GBLI,"Global Indemnity Group, LLC",0001494904,NASDAQ,25-NSE,2022-04-18,0000876661-22-000367,xslF25X02/primary_doc.xml,234922142.9849167,yahoo_historical
HIG-PG,"HARTFORD INSURANCE GROUP, INC.",0000874766,NYSE,25-NSE,2022-04-18,0000876661-22-000369,xslF25X02/primary_doc.xml,7411231887.1814575,yahoo_historical
PFLT,PennantPark Floating Rate Capital Ltd.,0001504619,NYSE,25,2022-04-13,0001193125-22-104360,d541287d25.htm,906773067.6096725,yahoo_historical
PNNT,PENNANTPARK INVESTMENT CORP,0001383414,NYSE,25,2022-04-13,0001193125-22-104356,d341311d25.htm,313476498.21556854,yahoo_historical
WBD,"Warner Bros. Discovery, Inc.",0001437107,NASDAQ,25-NSE,2022-04-08,0001354457-22-000230,xslF25X02/primary_doc.xml,60573860544.51929,yahoo_historical
WELL,WELLTOWER INC.,0000766704,NYSE,25-NSE,2022-04-05,0000876661-22-000338,xslF25X02/primary_doc.xml,59744701149.63443,yahoo_historical
EONR-WT,EON Resources Inc.,0001842556,AMEX,25-NSE,2022-04-04,0001143313-22-000023,xslF25X02/primary_doc.xml,,none
EP-PC,"KINDER MORGAN, INC.",0001506307,NYSE,25-NSE,2022-03-16,0000876661-22-000285,xslF25X02/primary_doc.xml,,none
BANC-PF,"BANC OF CALIFORNIA, INC.",0001169770,NYSE,25-NSE,2022-03-15,0000876661-22-000279,xslF25X02/primary_doc.xml,,none
BRBR,"BELLRING BRANDS, INC.",0001772016,NYSE,25-NSE,2022-03-11,0000876661-22-000271,xslF25X02/primary_doc.xml,2903791033.850849,yahoo_historical
NXE,NexGen Energy Ltd.,0001698535,NYSE,25,2022-03-11,0001193125-22-073030,d255546d25.htm,3652450765.300953,yahoo_historical
PFE,PFIZER INC,0000078003,NYSE,25-NSE,2022-03-07,0000876661-22-000258,xslF25X02/primary_doc.xml,220121322862.3811,yahoo_historical
NVTS,Navitas Semiconductor Corp,0001821769,NASDAQ,25-NSE,2022-03-07,0001354457-22-000170,xslF25X02/primary_doc.xml,1848579485.1527786,yahoo_historical
EXPE,"Expedia Group, Inc.",0001324424,NASDAQ,25-NSE,2022-03-03,0000876661-22-000238,xslF25X02/primary_doc.xml,21502363215.772293,yahoo_historical
LLY,ELI LILLY & Co,0000059478,NYSE,25-NSE,2022-03-02,0000876661-22-000220,xslF25X02/primary_doc.xml,220066956860.22278,yahoo_historical
NOG,"NORTHERN OIL & GAS, INC.",0001104485,NYSE,25,2022-03-02,0001193125-22-062954,d282489d25.htm,2115556946.5995827,yahoo_historical
GGZ,Gabelli Global Small & Mid Cap Value Trust,0001585855,NYSE,25-NSE,2022-02-28,0000876661-22-000198,xslF25X02/primary_doc.xml,89121493.84367466,yahoo_historical
ECCW,Eagle Point Credit Co Inc.,0001604174,NYSE,25-NSE,2022-02-28,0000876661-22-000195,xslF25X02/primary_doc.xml,,none
SKYH-WT,Sky Harbour Group Corp,0001823587,NYSE,25,2022-02-15,0001437749-22-003447,ysac20220214_25.htm,,none
WSR,Whitestone REIT,0001175535,NYSE,25-NSE,2022-02-14,0000876661-22-000165,xslF25X02/primary_doc.xml,485421367.3242531,yahoo_historical
ISPOW,Inspirato Inc,0001820566,NASDAQ,25-NSE,2022-02-11,0001354457-22-000129,xslF25X02/primary_doc.xml,,none
AMGN,AMGEN INC,0000318154,NASDAQ,25-NSE,2022-02-07,0001354457-22-000109,xslF25X02/primary_doc.xml,106014129810.35555,yahoo_historical
SES-WT,SES AI Corp,0001819142,NYSE,25-NSE,2022-02-04,0000876661-22-000128,xslF25X02/primary_doc.xml,,none
GUT-PC,GABELLI UTILITY TRUST,0001080720,NYSE,25-NSE,2022-01-31,0000876661-22-000115,xslF25X02/primary_doc.xml,1093937904.6764374,yahoo_historical
GDV-PK,GABELLI DIVIDEND & INCOME TRUST,0001260729,NYSE,25-NSE,2022-01-31,0000876661-22-000111,xslF25X02/primary_doc.xml,,none
GAB-PK,GABELLI EQUITY TRUST INC,0000794685,NYSE,25-NSE,2022-01-31,0000876661-22-000113,xslF25X02/primary_doc.xml,,none
AAMI,Acadian Asset Management Inc.,0001748824,NYSE,25-NSE,2022-01-20,0000876661-22-000072,xslF25X02/primary_doc.xml,797736161.25,yahoo_historical
ENR,"ENERGIZER HOLDINGS, INC.",0001632790,NYSE,25-NSE,2022-01-18,0000876661-22-000059,xslF25X02/primary_doc.xml,2404056594.599579,yahoo_historical
ENOV,Enovis CORP,0001420800,NYSE,25-NSE,2022-01-18,0000876661-22-000056,xslF25X02/primary_doc.xml,4341865259.721336,yahoo_historical
BOC,BOSTON OMAHA Corp,0001494582,NYSE,25,2022-01-13,0001437749-22-000863,bomn20220113_25.htm,908897485.9278946,yahoo_historical
SEAL-PB,Seapeak LLC,0001308106,NYSE,25-NSE,2022-01-13,0000876661-22-000047,xslF25X02/primary_doc.xml,,none
DE,DEERE & CO,0000315189,NYSE,25-NSE,2022-01-10,0000876661-22-000030,xslF25X02/primary_doc.xml,97536946305.83112,yahoo_historical
ENVX,Enovix Corp,0001828318,NASDAQ,25-NSE,2022-01-07,0001354457-22-000021,xslF25X02/primary_doc.xml,4268840707.3090897,yahoo_historical
PPG,PPG INDUSTRIES INC,0000079879,NYSE,25-NSE,2022-01-05,0000876661-22-000027,xslF25X02/primary_doc.xml,35706102319.33594,yahoo_historical
DAVEW,Dave Inc./DE,0001841408,NASDAQ,25,2022-01-05,0001193125-22-002744,d227142d25.htm,,none
FRT-PC,FEDERAL REALTY INVESTMENT TRUST,0000034903,NYSE,25-NSE,2022-01-03,0000876661-22-000015,xslF25X02/primary_doc.xml,8194580480.0,yahoo_current
ATH-PE,Athene Holding Ltd.,0001527469,NYSE,25-NSE,2022-01-03,0000876661-22-000008,xslF25X02/primary_doc.xml,,none
PSEC-PA,PROSPECT CAPITAL CORP,0001287032,NYSE,25-NSE,2021-12-30,0000876661-21-001838,xslF25X02/primary_doc.xml,,none
KNSL,"Kinsale Capital Group, Inc.",0001669162,NYSE,25,2021-12-30,0001341004-21-000381,form25.htm,5456088412.046631,yahoo_historical
CMPO,"CompoSecure, Inc.",0001823144,NYSE,25-NSE,2021-12-27,0001354457-21-001508,xslF25X02/primary_doc.xml,7278797824.0,yahoo_current
HLMN,Hillman Solutions Corp.,0001822492,NASDAQ,25-NSE,2021-12-22,0001354457-21-001493,xslF25X02/primary_doc.xml,1963031860.4699879,yahoo_historical
ADAMN,"ADAMAS TRUST, INC.",0001273685,NASDAQ,25-NSE,2021-12-17,0001354457-21-001477,xslF25X02/primary_doc.xml,,none
FCFS,"FirstCash Holdings, Inc.",0000840489,NASDAQ,25-NSE,2021-12-16,0001354457-21-001473,xslF25X02/primary_doc.xml,2626596938.3131027,yahoo_historical
GBCI,"GLACIER BANCORP, INC.",0000868671,NYSE,25,2021-12-16,0000868671-21-000100,gbci-12162021x25.htm,6509441538.043854,yahoo_historical
WHFCL,"WhiteHorse Finance, Inc.",0001552198,NASDAQ,25-NSE,2021-12-16,0001354457-21-001474,xslF25X02/primary_doc.xml,,none
MXL,"MAXLINEAR, INC",0001288469,NASDAQ,25,2021-12-10,0001288469-21-000278,form25nasdaqrelisting.htm,6542477569.943344,yahoo_historical
GRBK-PA,"Green Brick Partners, Inc.",0001373670,NYSE,25,2021-12-10,0001373670-21-000040,form25.htm,,none
SLDPW,"Solid Power, Inc.",0001844862,NASDAQ,25-NSE,2021-12-08,0001354457-21-001435,xslF25X02/primary_doc.xml,,none
PL-WT,Planet Labs PBC,0001836833,NYSE,25-NSE,2021-12-08,0000876661-21-001715,xslF25X02/primary_doc.xml,,none
BBAI-WT,"BigBear.ai Holdings, Inc.",0001836981,NYSE,25,2021-12-07,0001193125-21-350387,d251434d25.htm,,none
BKR,Baker Hughes Co,0001701605,NASDAQ,25,2021-12-06,0000950103-21-019347,dp161811_25.htm,21873562375.165318,yahoo_historical
SOFI,"SoFi Technologies, Inc.",0001818874,NASDAQ,25-NSE,2021-12-06,0001354457-21-001421,xslF25X02/primary_doc.xml,19864699444.31301,yahoo_historical
GRMN,GARMIN LTD,0001121788,NYSE,25,2021-12-06,0001193125-21-349047,d221910d25.htm,23437272453.982224,yahoo_historical
